legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 10532,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,01/24/1978,95,AZ
H.R. 10407,"Robinson, J. Kenneth [Rep.-R-VA-07]",Republican,12/15/1977,95,VA
H.R. 10392,"Nedzi, Lucien N. [Rep.-D-MI-14]",Democratic,12/15/1977,95,MI
H.R. 10368,"Anderson, Glenn M. [Rep.-D-CA-32]",Democratic,12/15/1977,95,CA
H.R. 10343,"Nichols, Bill [Rep.-D-AL-03]",Democratic,12/15/1977,95,AL
H.R. 10173,"Montgomery, G. V. (Sonny) [Rep.-D-MS-03]",Democratic,11/30/1977,95,MS
H.R. 10161,"St Germain, Fernand J. [Rep.-D-RI-01]",Democratic,11/29/1977,95,RI
H.R. 10126,"Burke, Yvonne B. [Rep.-D-CA-28]",Democratic,11/29/1977,95,CA
H.R. 9998,"Murphy, John M. [Rep.-D-NY-17]",Democratic,11/03/1977,95,NY
H.R. 9945,"Quillen, James H. (Jimmy) [Rep.-R-TN-01]",Republican,11/03/1977,95,TN
H.R. 9851,"Anderson, Glenn M. [Rep.-D-CA-32]",Democratic,10/31/1977,95,CA
H.R. 9836,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,10/31/1977,95,CA
H.R. 9794,"Murphy, John M. [Rep.-D-NY-17]",Democratic,10/27/1977,95,NY
H.R. 9757,"Roncalio, Teno [Rep.-D-WY-00]",Democratic,10/26/1977,95,WY
H.R. 9710,"Reuss, Henry S. [Rep.-D-WI-05]",Democratic,10/20/1977,95,WI
H.R. 9704,"Jones, Ed [Rep.-D-TN-07]",Democratic,10/20/1977,95,TN
H.R. 9701,"Dent, John H. [Rep.-D-PA-21]",Democratic,10/20/1977,95,PA
H.R. 9613,"Stangeland, Arlan [Rep.-R-MN-07]",Republican,10/17/1977,95,MN
H.R. 9611,"Holt, Marjorie S. [Rep.-R-MD-04]",Republican,10/17/1977,95,MD
H.R. 9610,"Bauman, Robert E. [Rep.-R-MD-01]",Republican,10/17/1977,95,MD
H.R. 9568,"Jeffords, James M. [Rep.-R-VT-00]",Republican,10/13/1977,95,VT
H.R. 9512,"Ford, William D. [Rep.-D-MI-15]",Democratic,10/12/1977,95,MI
H.R. 9471,"Mineta, Norman Y. [Rep.-D-CA-13]",Democratic,10/06/1977,95,CA
H.R. 9418,"Rogers, Paul G. [Rep.-D-FL-11]",Democratic,10/03/1977,95,FL
H.R. 9378,"Dent, John H. [Rep.-D-PA-21]",Democratic,09/29/1977,95,PA
H.R. 9375,"Mahon, George H. [Rep.-D-TX-19]",Democratic,09/28/1977,95,TX
H.R. 9354,"Nix, Robert N. C. [Rep.-D-PA-02]",Democratic,09/28/1977,95,PA
H.R. 9352,"Steers, Newton I., Jr. [Rep.-R-MD-08]",Republican,09/27/1977,95,MD
H.R. 9346,"Ullman, Al [Rep.-D-OR-02]",Democratic,09/27/1977,95,OR
