legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 3996,"Florio, James J. [Rep.-D-NJ-01]",Democratic,05/08/1979,96,NJ
H.R. 3979,"Runnels, Harold L. [Rep.-D-NM-02]",Democratic,05/07/1979,96,NM
H.R. 3978,"Rinaldo, Matthew J. [Rep.-R-NJ-12]",Republican,05/07/1979,96,NJ
H.R. 3956,"Markey, Edward J. [Rep.-D-MA-07]",Democratic,05/04/1979,96,MA
H.R. 3951,"Stark, Fortney Pete [Rep.-D-CA-09]",Democratic,05/04/1979,96,CA
H.R. 3948,"Pepper, Claude [Rep.-D-FL-14]",Democratic,05/04/1979,96,FL
H.R. 3928,"Lujan, Manuel, Jr. [Rep.-R-NM-01]",Republican,05/03/1979,96,NM
H.R. 3923,"Brooks, Jack B. [Rep.-D-TX-09]",Democratic,05/03/1979,96,TX
H.R. 3920,"Corman, James C. [Rep.-D-CA-21]",Democratic,05/03/1979,96,CA
H.R. 3919,"Ullman, Al [Rep.-D-OR-02]",Democratic,05/03/1979,96,OR
H.R. 3915,"Thompson, Frank, Jr. [Rep.-D-NJ-04]",Democratic,05/03/1979,96,NJ
H.R. 3914,"Stark, Fortney Pete [Rep.-D-CA-09]",Democratic,05/03/1979,96,CA
H.R. 3904,"Perkins, Carl Dewey [Rep.-D-KY-07]",Democratic,05/03/1979,96,KY
H.R. 3892,"Satterfield, David E., III [Rep.-D-VA-03]",Democratic,05/02/1979,96,VA
H.R. 3879,"Dellums, Ronald V. [Rep.-D-CA-08]",Democratic,05/02/1979,96,CA
H.R. 3875,"Ashley, Thomas L. [Rep.-D-OH-09]",Democratic,05/02/1979,96,OH
H.R. 3873,"Wright, James C., Jr. [Rep.-D-TX-12]",Democratic,05/01/1979,96,TX
H.R. 3869,"Horton, Frank J. [Rep.-R-NY-34]",Republican,05/01/1979,96,NY
H.R. 3824,"Fauntroy, Walter E. [Del.-D-DC-00]",Democratic,05/01/1979,96,DC
H.R. 3818,"Mazzoli, Romano L. [Rep.-D-KY-03]",Democratic,04/30/1979,96,KY
H.R. 3807,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,04/30/1979,96,NJ
H.R. 3789,"de la Garza, E. [Rep.-D-TX-15]",Democratic,04/30/1979,96,TX
H.R. 3765,"Coelho, Anthony Lee [Rep.-D-CA-15]",Democratic,04/26/1979,96,CA
H.R. 3757,"Burton, Phillip [Rep.-D-CA-06]",Democratic,04/26/1979,96,CA
H.R. 3756,"Burton, Phillip [Rep.-D-CA-06]",Democratic,04/26/1979,96,CA
H.R. 3748,"Murphy, John M. [Rep.-D-NY-17]",Democratic,04/25/1979,96,NY
H.R. 3707,"Holtzman, Elizabeth [Rep.-D-NY-16]",Democratic,04/24/1979,96,NY
H.R. 3661,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,04/23/1979,96,AZ
H.R. 3637,"Vanik, Charles A. [Rep.-D-OH-22]",Democratic,04/10/1979,96,OH
H.R. 3577,"Murphy, John M. [Rep.-D-NY-17]",Democratic,04/10/1979,96,NY
H.R. 3459,"Walgren, Doug [Rep.-D-PA-18]",Democratic,04/04/1979,96,PA
H.R. 3434,"Corman, James C. [Rep.-D-CA-21]",Democratic,04/04/1979,96,CA
H.R. 3407,"Ottinger, Richard L. [Rep.-D-NY-24]",Democratic,04/03/1979,96,NY
H.R. 3404,"Mitchell, Parren J. [Rep.-D-MD-07]",Democratic,04/03/1979,96,MD
H.R. 3398,"English, Glenn [Rep.-D-OK-06]",Democratic,04/03/1979,96,OK
H.R. 3396,"Barnard, Doug, Jr. [Rep.-D-GA-10]",Democratic,04/02/1979,96,GA
